phase,dataset,variant,seed,git_sha,timestamp,host,N,Dim,ef_ref,threads,repeat,build_time_s,edges,avg_degree,Recall_pct,CV,M_index,ef_construction
1,mnist,vanilla,42,10cbb68,2026-09-04T21:40:37,hallasan,60000,784,149,1,0,13.78079104423523,1015348,16.922466666666665,98.67,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:40:51,hallasan,60000,784,149,1,1,13.842983484268188,1015348,16.922466666666665,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:41:05,hallasan,60000,784,149,1,2,13.894631624221802,1015348,16.922466666666665,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:41:12,hallasan,60000,784,149,2,0,7.248082160949707,1015347,16.92245,98.66,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:41:19,hallasan,60000,784,149,2,1,7.229910373687744,1015297,16.921616666666665,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:41:27,hallasan,60000,784,149,2,2,7.2388694286346436,1015283,16.921383333333335,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:41:32,hallasan,60000,784,149,3,0,5.078181982040405,1015234,16.920566666666666,98.67,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:41:37,hallasan,60000,784,149,3,1,5.084503650665283,1015232,16.920533333333335,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:41:42,hallasan,60000,784,149,3,2,5.0731823444366455,1015436,16.923933333333334,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:41:46,hallasan,60000,784,149,4,0,4.018051862716675,1015054,16.917566666666666,98.67,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:41:50,hallasan,60000,784,149,4,1,4.019670248031616,1015044,16.9174,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:41:54,hallasan,60000,784,149,4,2,4.017560720443726,1015130,16.918833333333332,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:41:58,hallasan,60000,784,149,5,0,3.380533456802368,1015211,16.920183333333334,98.61999999999999,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:01,hallasan,60000,784,149,5,1,3.3772199153900146,1015221,16.92035,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:04,hallasan,60000,784,149,5,2,3.37302303314209,1015033,16.91721666666667,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:07,hallasan,60000,784,149,6,0,2.942135810852051,1015063,16.917716666666667,98.67,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:10,hallasan,60000,784,149,6,1,2.9433071613311768,1014994,16.916566666666668,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:13,hallasan,60000,784,149,6,2,2.9489219188690186,1015147,16.919116666666667,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:16,hallasan,60000,784,149,7,0,2.637295961380005,1015105,16.918416666666666,98.67,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:19,hallasan,60000,784,149,7,1,2.641986131668091,1015212,16.9202,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:22,hallasan,60000,784,149,7,2,3.072232961654663,1015416,16.9236,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:25,hallasan,60000,784,149,8,0,2.832814931869507,1015070,16.917833333333334,98.57000000000001,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:27,hallasan,60000,784,149,8,1,2.8141026496887207,1015189,16.919816666666666,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:30,hallasan,60000,784,149,8,2,2.8342807292938232,1014905,16.91508333333333,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:33,hallasan,60000,784,149,9,0,2.761443853378296,1014952,16.915866666666666,98.53999999999999,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:36,hallasan,60000,784,149,9,1,2.739345073699951,1015109,16.918483333333334,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:39,hallasan,60000,784,149,9,2,2.7738282680511475,1014774,16.9129,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:41,hallasan,60000,784,149,10,0,2.7260639667510986,1015532,16.925533333333334,98.6,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:44,hallasan,60000,784,149,10,1,2.6490955352783203,1015657,16.927616666666665,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:47,hallasan,60000,784,149,10,2,2.728278636932373,1015286,16.921433333333333,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:49,hallasan,60000,784,149,11,0,2.6838221549987793,1014612,16.9102,98.61,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:52,hallasan,60000,784,149,11,1,2.6700356006622314,1014622,16.91036666666667,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:55,hallasan,60000,784,149,11,2,2.680070161819458,1014894,16.9149,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:42:58,hallasan,60000,784,149,12,0,2.624389886856079,1015026,16.9171,98.7,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:00,hallasan,60000,784,149,12,1,2.5771000385284424,1014672,16.9112,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:03,hallasan,60000,784,149,12,2,2.6299386024475098,1014829,16.913816666666666,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:05,hallasan,60000,784,149,13,0,2.5829856395721436,1014651,16.91085,98.58999999999999,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:08,hallasan,60000,784,149,13,1,2.5165085792541504,1014789,16.91315,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:11,hallasan,60000,784,149,13,2,2.585336685180664,1014503,16.908383333333333,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:13,hallasan,60000,784,149,14,0,2.5473239421844482,1014557,16.909283333333335,98.63999999999999,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:16,hallasan,60000,784,149,14,1,2.5253286361694336,1014800,16.913333333333334,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:18,hallasan,60000,784,149,14,2,2.5456831455230713,1014925,16.915416666666665,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:21,hallasan,60000,784,149,15,0,2.50951886177063,1015031,16.917183333333334,98.64,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:23,hallasan,60000,784,149,15,1,2.489475727081299,1015054,16.917566666666666,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:26,hallasan,60000,784,149,15,2,2.5089621543884277,1014610,16.910166666666665,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:28,hallasan,60000,784,149,16,0,2.469348192214966,1014693,16.91155,98.55999999999999,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:31,hallasan,60000,784,149,16,1,2.4584105014801025,1014773,16.912883333333333,,0.2633617193820138,16,100
1,mnist,vanilla,42,10cbb68,2026-09-04T21:43:33,hallasan,60000,784,149,16,2,2.4756858348846436,1014881,16.914683333333333,,0.2633617193820138,16,100
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:43:50,hallasan,60000,784,149,1,0,16.880048274993896,809282,13.488033333333334,98.11999999999999,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:44:07,hallasan,60000,784,149,1,1,16.803293228149414,809282,13.488033333333334,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:44:24,hallasan,60000,784,149,1,2,16.822922468185425,809282,13.488033333333334,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:44:33,hallasan,60000,784,149,2,0,8.781640529632568,809204,13.486733333333333,98.11999999999999,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:44:41,hallasan,60000,784,149,2,1,8.781588077545166,809248,13.487466666666666,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:44:50,hallasan,60000,784,149,2,2,8.792220830917358,809236,13.487266666666667,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:44:56,hallasan,60000,784,149,3,0,6.1458821296691895,809217,13.48695,98.11999999999999,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:03,hallasan,60000,784,149,3,1,6.1483705043792725,809252,13.487533333333333,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:09,hallasan,60000,784,149,3,2,6.141597509384155,809213,13.486883333333333,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:14,hallasan,60000,784,149,4,0,4.854280710220337,809114,13.485233333333333,98.1,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:19,hallasan,60000,784,149,4,1,4.860403537750244,809063,13.484383333333334,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:23,hallasan,60000,784,149,4,2,4.840614318847656,809062,13.484366666666666,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:28,hallasan,60000,784,149,5,0,4.074126958847046,809079,13.48465,98.1,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:32,hallasan,60000,784,149,5,1,4.078419923782349,809110,13.485166666666666,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:36,hallasan,60000,784,149,5,2,4.074031352996826,809072,13.484533333333333,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:39,hallasan,60000,784,149,6,0,3.5481441020965576,809092,13.484866666666667,98.11999999999999,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:43,hallasan,60000,784,149,6,1,3.562199115753174,809117,13.485283333333333,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:46,hallasan,60000,784,149,6,2,3.5462393760681152,809047,13.484116666666667,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:50,hallasan,60000,784,149,7,0,3.5401811599731445,809085,13.48475,98.16,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:54,hallasan,60000,784,149,7,1,3.5961318016052246,809105,13.485083333333334,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:45:57,hallasan,60000,784,149,7,2,3.588931083679199,809123,13.485383333333333,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:01,hallasan,60000,784,149,8,0,3.3970704078674316,809197,13.486616666666666,98.05,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:04,hallasan,60000,784,149,8,1,3.3871233463287354,809314,13.488566666666667,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:08,hallasan,60000,784,149,8,2,3.4003543853759766,809097,13.48495,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:11,hallasan,60000,784,149,9,0,3.3338470458984375,809187,13.48645,98.13,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:14,hallasan,60000,784,149,9,1,3.3047935962677,809232,13.4872,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:18,hallasan,60000,784,149,9,2,3.312976121902466,809422,13.490366666666667,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:21,hallasan,60000,784,149,10,0,3.249619483947754,809034,13.4839,98.19999999999999,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:24,hallasan,60000,784,149,10,1,3.2249131202697754,808966,13.482766666666667,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:27,hallasan,60000,784,149,10,2,3.2641708850860596,808966,13.482766666666667,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:31,hallasan,60000,784,149,11,0,3.207305908203125,809086,13.484766666666667,98.12999999999998,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:34,hallasan,60000,784,149,11,1,3.1722395420074463,809036,13.483933333333333,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:37,hallasan,60000,784,149,11,2,3.2065677642822266,808952,13.482533333333333,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:40,hallasan,60000,784,149,12,0,3.1415750980377197,809219,13.486983333333333,98.1,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:43,hallasan,60000,784,149,12,1,3.07956600189209,809093,13.484883333333334,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:46,hallasan,60000,784,149,12,2,3.144566059112549,809136,13.4856,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:50,hallasan,60000,784,149,13,0,3.0853700637817383,808898,13.481633333333333,98.11999999999999,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:53,hallasan,60000,784,149,13,1,3.0358757972717285,809067,13.48445,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:56,hallasan,60000,784,149,13,2,3.094783306121826,809265,13.48775,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:46:59,hallasan,60000,784,149,14,0,3.042076349258423,809024,13.483733333333333,98.1,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:47:02,hallasan,60000,784,149,14,1,3.0252373218536377,808931,13.482183333333333,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:47:05,hallasan,60000,784,149,14,2,3.0412466526031494,808829,13.480483333333334,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:47:08,hallasan,60000,784,149,15,0,3.001297950744629,809188,13.486466666666667,98.19,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:47:11,hallasan,60000,784,149,15,1,2.9619486331939697,809154,13.4859,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:47:14,hallasan,60000,784,149,15,2,2.9916651248931885,808963,13.482716666666667,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:47:17,hallasan,60000,784,149,16,0,2.9489550590515137,809011,13.483516666666667,98.11999999999999,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:47:20,hallasan,60000,784,149,16,1,2.9063498973846436,808712,13.478533333333333,,0.2633617193820138,22,207
1,mnist,dhnsw,42,10cbb68,2026-09-04T21:47:23,hallasan,60000,784,149,16,2,2.9564948081970215,809220,13.487,,0.2633617193820138,22,207
1,mnist,dhnsw_ef100,42,10cbb68,2026-09-04T21:47:35,hallasan,60000,784,149,1,0,12.256494522094727,785138,13.085633333333334,98.01999999999998,0.2633617193820138,22,100
