phase,dataset,variant,seed,git_sha,timestamp,host,N,Dim,ef_ref,threads,repeat,build_time_s,edges,avg_degree,Recall_pct,CV,M_index,ef_construction
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:17:45,hallasan,60000,128,101,1,0,3.452286720275879,1044030,17.4005,97.55000000000001,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:17:49,hallasan,60000,128,101,1,1,3.4339184761047363,1044030,17.4005,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:17:52,hallasan,60000,128,101,1,2,3.4179506301879883,1044030,17.4005,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:17:54,hallasan,60000,128,101,2,0,1.7628252506256104,1044091,17.401516666666666,97.54000000000002,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:17:56,hallasan,60000,128,101,2,1,1.7607576847076416,1044028,17.400466666666667,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:17:57,hallasan,60000,128,101,2,2,1.7661848068237305,1043981,17.399683333333332,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:17:59,hallasan,60000,128,101,3,0,1.2011284828186035,1043842,17.397366666666667,97.55000000000001,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:00,hallasan,60000,128,101,3,1,1.1987709999084473,1044017,17.400283333333334,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:01,hallasan,60000,128,101,3,2,1.1986870765686035,1043932,17.398866666666667,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:02,hallasan,60000,128,101,4,0,0.9142642021179199,1044346,17.40576666666667,97.03,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:03,hallasan,60000,128,101,4,1,0.9092586040496826,1043936,17.398933333333332,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:04,hallasan,60000,128,101,4,2,0.9122505187988281,1043879,17.397983333333332,,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:05,hallasan,60000,128,101,5,0,0.7441198825836182,1044708,17.4118,97.87,0.2103582810070143,16,100
2,sift1m,vanilla,42,9fe3928,2026-09-05T20:18:05,hallasan,60000,128,101,5,1,0.7491185665130615,1044722,17.412033333333333,,0.2103582810070143,16,100
